,brand,categories,currency,dateSeen,gender,id,name,price,sizes
103859,nike,[shoes],USD,2015-04-20T01:35:32.353Z,IDK,AVpf36EbilAPnD_xjzZi,Air Jordan 10 Retro 'double Nickel' - 310805-102,310,
191334,nike,[shoes],USD,2015-04-21T12:55:59.167Z,M,AVpgHdULLJeJML43JLUN,"Nike Mens Air Jordan 3 Retro ""joker"" Leather Basketball Shoes",309.99,
136204,nike,[shoes],USD,2015-04-20T11:02:27.138Z,M,AVpfdnwV1cnluZ0-lKxq,"Nike Mens Kd Vii ""global Game"" Action Red/metallic Silver Synthetic Size",308,
243284,nike,[shoes],USD,2015-10-12T00:00:00Z,M,AVpglg-gLJeJML43QAVb,Nike Shox Superfly R4 Prm Qs Mens,307,
206465,nike,[shoes],USD,2015-04-17T09:44:19.798Z,IDK,AVphqkceLJeJML43dcha,Air Jordan 12 Retro (gs) Gammablue 153265 027 Size 3.5y,300,
213932,nike,[shoes],USD,2015-04-17T20:58:34.302Z,IDK,AVpfsOU7LJeJML43B8f1,Air Jordan 4 Retro (gs) White/varsity Red-black,300,
220402,nike,[shoes],USD,2015-04-21T06:22:04.106Z,IDK,AVpgsnhEilAPnD_xwIU2,Nike Air Jordan Retro 10 Men Sneakers White/black/ Dark Powder Blue 310805-106 (size: 9.5),300,
224772,nike,[shoes],USD,2015-04-18T16:44:40.131Z,M,AVphO33KLJeJML43YbU0,"Nike Lebron James Xii The Twelve ""heart of Lion"" 684593 601 Red White Men's Size 14",300,
227663,nike,"[shoes, Sports, Men, Athletic, Team Sports, Basketball]",USD,2015-10-12T00:00:00Z,M,AVphYZeQ1cnluZ0-ByzG,Nike Air Jordan Retro 11 Legend Blue Columbia 378037-117,300,
279576,nike,[shoes],USD,2015-04-20T13:34:09.497Z,IDK,AVphjcv71cnluZ0-D0ty,Nike Kd Vii Ext Qs Size 10 Limited!! 716654 001,300,
195297,nike,[shoes],USD,2015-04-21T13:32:07.070Z,IDK,AVpgqnHFLJeJML43RJ3D,"Air Jordan 7 Retro 30th ""marvin The Martian"" - 705350-007",299.99,
242936,nike,[shoes],USD,2015-04-21T01:31:20.354Z,M,AVpgMOob1cnluZ0-x0cK,Nike Men's Zoom Kobe Vi 3d Home Edition 10 M Us White Club Purple Del Sol,299.99,
256441,nike,[shoes],USD,2015-04-21T02:10:13.064Z,M,AVphz_xe1cnluZ0-Gqvg,Nike Men's Flyknit Racer 12.5 M Us Volt Black,299.99,
235260,nike,[shoes],USD,2015-04-20T01:17:19.345Z,IDK,AVpijVYb1cnluZ0-OW_R,Nike Air Jordan Xx9 'legend Blue' - 695515-117 - White & Legend Blue,299.97,
132515,nike,"[Shoes, Men, Athletic, Team Sports, Basketball]",USD,2015-10-12T00:00:00Z,M,AVpfMw4N1cnluZ0-gBpi,Nike Men's Kobe 9 Elite What The Kobe Basketball Shoes (678301-904),299.95,
192476,nike,[shoes],USD,2015-04-18T18:24:16.732Z,IDK,AVpgU2g4ilAPnD_xq5YS,Nike Lebron Xi (gs) Everglades - Black/metallic Silver-wolf Grey-atomic Mint,299.95,
276189,nike,[shoes],USD,2015-10-12T00:00:00Z,M,AVpgwXlI1cnluZ0-59qb,Nike Mens Jordan 1 Sb Qs Leather Skateboarding,299,
177031,nike,[shoes],USD,2015-04-20T07:27:25.195Z,M,AVpgza0FilAPnD_xxe4y,Boys Nike Nike Little Pos Black 644792-001,295.51,
106952,nike,[shoes],USD,2015-04-21T04:44:08.562Z,M,AVpfJCiQLJeJML433RKk,Air Jordan 13 Retro Prm Mens,295,
275158,nike,[shoes],USD,2015-10-12T00:00:00Z,M,AVpg98531cnluZ0-8nGQ,Nike Lebron X Ext Denim Qs Men's Shoes Midnight Navy/hazlenut-fireberry,295,
33453,nike,[shoes],USD,2015-10-12T00:00:00Z,IDK,AVpgQhHoilAPnD_xp2uJ,"Nike Lebron Xii 12 Low ""lebronold Palmer"" - Lime Mango - 776652-383",295,
241144,nike,[shoes],USD,2015-10-12T00:00:00Z,M,AVpf5zktilAPnD_xkRnx,Nike Lebron Xii Ext Qs Men's Shoes Wheat/metallic Gold-wheat 744287-700,294.95,
164278,nike,[shoes],USD,2015-04-18T04:58:10.172Z,IDK,AVpgC8-61cnluZ0-vlXr,"Nike Air Jordan ""doernbecher"" 10 Retro Grade School Size (black / Gym Red) 641746-060 (3.5)",290,
180362,nike,[shoes],USD,2015-04-21T11:42:15.020Z,M,AVphkkVb1cnluZ0-EApG,Men's Nike Air Max 2015 Premium Reflective Running Shoes - Ltd Edition - Reflect Silver/reflect Silver - 001,289.99,
185359,nike,"[Shoes, Men, Athletic, Team Sports, Basketball]",USD,2015-10-12T00:00:00Z,M,AVpfNdfHLJeJML434t-E,"Nike Air Foamposite One Premium ""weatherman"" Men's Basketball Shoes White/current Blue-flash Lime",289.95,
223385,nike,[shoes],USD,2015-10-12T00:00:00Z,W,AVphE9MrLJeJML43Wc_F,Nike Women's Wmns Air Max 1 Ultra Lotc Qs,285,
224472,nike,[shoes],USD,2015-10-12T00:00:00Z,M,AVphM4U8ilAPnD_x2i-Y,Nike Men's Lebron Xii As Ep,285,
270774,nike,[shoes],USD,2015-10-12T00:00:00Z,IDK,AVpf6svj1cnluZ0-tgkZ,Nike Air Foamposite Pro Premium 616750-002 Cement Pink (13),285,
148723,nike,[shoes],USD,2015-04-19T06:38:39.894Z,M,AVpgc8_-ilAPnD_xsnHO,"Nike Air Foamposite One ""whiteout"" Men's Basketball Shoes White/metallic Silver",284.99,
199080,nike,[shoes],USD,2015-04-18T20:59:15.282Z,M,AVphE_QzLJeJML43WdZv,Nike Kd Vii Ext Suede Qs Men's Shoes Black/black 717593-001,284.95,
124543,nike,[shoes],USD,2015-05-17T15:28:37.704Z,M,AVpgnDdX1cnluZ0-36In,Jordan 12 Retro 2 Mens,280,
213782,nike,[shoes],USD,2015-10-12T00:00:00Z,M,AVpfk34wilAPnD_xeTPK,"Nike Mens Dunk High Pro Premium Sb ""krampus"" Synthetic Skateboarding",280,
