,index,brand,categories,id,name,price,currency,dateSeen,sizes,gender
220,100379,skechers,"[Academy, Footwear, Men's Shoes, Men's Training Shoes]",AVpe4vypilAPnD_xQFxj,Skechers Men's Trait Training Shoes,34.98,USD,2015-11-20T00:00:00Z,,M
221,100382,ugg australia,"[Women, Water Resistant, Rain Winter Boots, Shoes, Boots]",AVpe4x1U1cnluZ0-ZDeg,'sumner' Boot (women) (wide Calf),199.95,USD,2015-11-08T00:00:00Z,"[10, 7, 6, 5, 9, 8, 11]",W
222,100387,lacoste,[Shoes],AVpe4x_P1cnluZ0-ZDiw,Ojetti Mag,49.99,USD,2015-08-20T00:00:00Z,"[10.5, 10, 11.5, 13, 11]",IDK
223,100389,lauren by ralph lauren,"[Sandals, Shoes]",AVpe4xr_1cnluZ0-ZDau,Hazel,77.13,USD,2015-10-14T00:00:00Z,[10],IDK
224,100391,k-swiss,[Shoes],AVpe4yAtLJeJML43xiGM,Si-18 Rannell 2���,44.99,USD,2016-04-27T00:00:00Z,"[10.5, 8.5, 10, 7, 9.5, 7.5, 9, 11.5, 8, 13, 11, 12]",IDK
225,100392,lauren by ralph lauren,"[Sandals, Shoes]",AVpe4yI5LJeJML43xiJS,Rita,48.76,USD,2015-10-21T00:00:00Z,"[7, 6.5, 8]",IDK
226,100395,texas steer,"[Men's Boots, Shoes, Men's Shoes]",AVpe4ym81cnluZ0-ZDwb,Texas Steer Men's Judd Tan Soft Toe Work Boot,49.99,USD,2016-03-30T00:00:00Z,"[10.5, 8.5, 10, 7, 9.5, 6.5, 7.5, 9, 8, 13, 11, 12]",M
227,1004,sjp by sarah jessica parker,"[Heels, Shoes]",AVpe4TFGilAPnD_xP6dt,Naomi,201.99,USD,2016-05-07T00:00:00Z,"[38.5, 36, 39, 38]",IDK
228,100401,asics,[Shoes],AVpe4z4ILJeJML43xixl,Blazingfast���,44.99,USD,2016-04-10T00:00:00Z,"[10.5, 7, 9.5, 13, 14, 12]",IDK
229,100403,sole senseability,[Shoes],AVpe4z6vilAPnD_xQHVQ,Sole (sense)ability Women's Ballet Flats,25.99,USD,2015-09-14T00:00:00Z,[7],IDK
230,100404,nike,"[Girls' Shoes, Kids, Shoes, Sneakers Athletic]",AVpe4zFJ1cnluZ0-ZD72,'free 5.0' Sneaker (big Kid),54.0,USD,2015-11-08T00:00:00Z,"[4 M, 5 M, 6 M, 4.5 M, 5.5 M, 3.5 M]",W
231,100405,sorel,"[Shoes, Flats]",AVpe4zFP1cnluZ0-ZD78,Yaquina Moc���,35.99,USD,2015-10-21T00:00:00Z,"[10.5, 10, 8.5, 7, 6, 9.5, 6.5, 7.5, 9, 8]",IDK
232,100408,kate spade new york,"[Party Evening, Women, Pumps, Shoes]",AVpe4zehilAPnD_xQHKR,'angelique' Mary Jane Pump (women),350.0,USD,2015-10-15T00:00:00Z,"[10.5, 10, 8.5, 5.5, 7, 6, 9.5, 5, 6.5, 7.5, 9, 8, 11]",W
233,100410,tundra boots kids,"[Shoes, Boots]",AVpe4zjBilAPnD_xQHMk,Lucky 5 (toddler),59.95,USD,2016-05-05T00:00:00Z,,IDK
234,100411,kennel & schmenger,[Shoes],AVpe4zyY1cnluZ0-ZENP,Scoop Slip-on Sneaker,131.99,USD,2016-05-07T00:00:00Z,,IDK
235,100413,annie,"[Heels, Shoes]",AVpe5-_w1cnluZ0-Zgkm,Kix,44.99,USD,2016-04-02T00:00:00Z,"[8.5, 7, 6, 9.5, 6.5, 7.5, 9, 8, 12]",IDK
