,id,brand,categories,dateUpdated,name,sizes,sourceURLs,prices.amountMin,prices.condition,prices.currency,prices.dateSeen,prices.merchant
57,AVpe-4-lilAPnD_xSVct,5.11,[shoes],2014-11-12T17:09:31Z,5.11 Pursuit Lace Up Shoes Black,,www.amazon.com,99.99,,USD,2014-11-08T13:20:20.125Z,
58,AVpe-4-tLJeJML43zxHQ,MissFox,"[Shoes, Golf, Accessories, Handbags, Women, Clutches]",2016-08-03T18:24:35Z,Missfox Women's Man Made Diamond Design Handbag Detachable Chain Clutch Evening Bag,,www.amazon.ca,37.12,new,CAD,2016-08-01T18:19:04Z,LianNuo E Commerce
59,AVpe-4Bj1cnluZ0-bSUL,Miss Image UK,[Shoes],2015-09-10T17:04:59Z,Ladies Womens Gladiator Chunky Cut Out Strappy Summer Sandals Block Heel Size,,www.amazon.co.uk,9.99,new,EUR,2015-09-06T00:00:00Z,Amazon.co.uk
60,AVpe-4CAilAPnD_xSVG9,Dunlop,[Shoes],2015-09-10T17:38:31Z,Dunlop Red/gold Blown Pvc Slingback Toe Post Womens Flip-flops Uk Size 7,,www.amazon.co.uk,7.99,new,EUR,2015-09-05T00:00:00Z,DMS Sportsworld
61,AVpe-4Js1cnluZ0-bSXi,BeMIX,[Shoes],2015-08-24T20:07:49Z,Bemix Women's Shoes Comfort Pointed Toe Flat Heel Calf Hair Flats Shoes More Colors Available,,www.amazon.co.uk,76.35,new,EUR,2015-08-22T00:00:00Z,Amazon.co.uk
62,AVpe-4K3LJeJML43zw1N,Lady shoes,[Shoes],2015-08-24T20:08:25Z,Klm Women's Shoes Fashion Boots Pointed Toe Chunky Heel Ankle Boots,,www.amazon.co.uk,32.0,new,EUR,2015-08-22T00:00:00Z,Amazon.co.uk
63,AVpe-4KmilAPnD_xSVKl,Souked,"[Team Sports, Throwing Equipment, Shots, Shoes, Women, Boots]",2015-11-16T02:53:04Z,Women's Md Long Cow Leather Thermal Boots - Royal Blue - 36,,www.amazon.ca,212.43,new,CAD,2015-11-14T00:00:00Z,Soukedus
64,AVpe-4NX1cnluZ0-bSY1,Frye,"[Shoes, Boots]",2016-05-03T16:29:31Z,Veronica Chelsea,"[8.5, 7, 6.5, 7.5, 9, 8]",www.6pm.com,149.99,New,USD,2016-04-28T00:00:00Z,6pm.com
65,AVpe-4OlLJeJML43zw2i,BeMIX,[Shoes],2015-08-24T20:09:16Z,Bemix Women's Shoes Pointed Toe Chunky Heel Flats Shoes More Colors Available,,www.amazon.co.uk,76.0,new,EUR,2015-08-22T00:00:00Z,Amazon.co.uk
66,AVpe-4eL1cnluZ0-bSfN,Fashiondiary,"[Snowshoeing, Boots, Shoes, Men]",2016-08-29T20:33:13Z,Fashiondiary Men's 1 Sizes Soft Autumn Mens Snowshoes,,www.amazon.ca,134.75,new,CAD,2016-01-29T00:00:00Z,fashiondiary
67,AVpe-4eaLJeJML43zw8Q,Pleaser,[Shoes],2015-09-10T17:07:38Z,"Pleaser Ado708/c/m, Women Platform Pumps",,www.amazon.co.uk,59.84,new,EUR,2015-09-06T00:00:00Z,Amazon.co.uk
68,AVpe-4pG1cnluZ0-bSjQ,Stetson,"[Shoes, Boots]",2016-06-21T14:30:05Z,Bailey,"[10.5, 10, 8.5, 7, 6, 9.5, 6.5, 7.5, 9, 8, 11]",www.zappos.com,209.99,New,USD,2016-05-05T00:00:00Z,6pm.com
69,AVpe-4pQ1cnluZ0-bSjU,Cutting-Edge PRO SPEC,[Shoes],2015-09-10T16:28:18Z,Cutting-edge Dickies Chukka Safety Boots - Min 3yr Cleva�� Warranty,,www.amazon.co.uk,41.11,new,EUR,2015-09-07T00:00:00Z,CamoOutdoor - The Sports & Camouflage Outfitters
70,AVpe-4wrilAPnD_xSVXn,Kate Spade New York,"[Sandals, Shoes, Drama]",2016-05-08T22:27:36Z,Irvine,"[10.5, 10, 8.5, 7, 9.5, 7.5, 9, 8]",www.imdb.com,262.99,New,USD,2015-10-21T00:00:00Z,6pm.com
